Year,NOC,region,Sport,Event,Medal
1984,KOR,South Korea,Boxing,Boxing Men's Welterweight,Silver
1996,CHN,China,Softball,Softball Women's Softball,Silver
1996,BRA,Brazil,Volleyball,Volleyball Women's Volleyball,Bronze
1980,BGR,,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
2000,BLR,Belarus,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1992,ITA,Italy,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1980,YUG,Serbia,Handball,Handball Women's Handball,Silver
1984,YUG,Serbia,Handball,Handball Women's Handball,Gold
2004,HRV,,Tennis,Tennis Men's Doubles,Bronze
1972,POL,Poland,Football,Football Men's Football,Gold
2016,FRA,France,Judo,Judo Women's Heavyweight,Gold
1984,USA,USA,Hockey,Hockey Women's Hockey,Bronze
1996,DNK,,Handball,Handball Women's Handball,Gold
2016,DNK,,Rowing,Rowing Women's Coxless Pairs,Bronze
2000,DNK,,Handball,Handball Women's Handball,Gold
1988,NOR,Norway,Handball,Handball Women's Handball,Silver
2004,DNK,,Handball,Handball Women's Handball,Gold
1992,NOR,Norway,Sailing,Sailing Women's One Person Dinghy,Gold
2008,DNK,,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
1960,DNK,,Football,Football Men's Football,Silver
1984,NOR,Norway,Athletics,Athletics Women's Marathon,Silver
2004,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Gold
2008,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Silver
2012,USA,USA,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
2000,USA,USA,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
2008,USA,USA,Baseball,Baseball Men's Baseball,Bronze
2004,AUS,Australia,Baseball,Baseball Men's Baseball,Silver
1960,CAN,Canada,Rowing,Rowing Men's Coxed Eights,Silver
1964,USA,USA,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
1968,USA,USA,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
1992,NZL,New Zealand,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
2012,USA,USA,Swimming,Swimming Women's 10 kilometres Open Water,Silver
1972,AUS,Australia,Sailing,Sailing Mixed Two Person Keelboat,Gold
2016,USA,USA,Volleyball,Volleyball Men's Volleyball,Bronze
1984,AUS,Australia,Sailing,Sailing Mixed Multihull,Bronze
1972,AUS,Australia,Sailing,Sailing Mixed Three Person Keelboat,Gold
1988,USA,USA,Basketball,Basketball Men's Basketball,Bronze
1984,SWE,Sweden,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
1984,SWE,Sweden,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
1984,SWE,Sweden,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
1992,SWE,Sweden,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
1992,SWE,Sweden,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
1996,SWE,Sweden,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
1996,SWE,Sweden,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
1984,SWE,Sweden,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
2016,SWE,Sweden,Football,Football Women's Football,Silver
2012,SWE,Sweden,Handball,Handball Men's Handball,Silver
1992,SWE,Sweden,Handball,Handball Men's Handball,Silver
1996,SWE,Sweden,Handball,Handball Men's Handball,Silver
2000,SWE,Sweden,Handball,Handball Men's Handball,Silver
1992,AUS,Australia,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
1976,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1980,RUS,Russia,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
1976,JPN,Japan,Weightlifting,Weightlifting Men's Bantamweight,Bronze
2012,JPN,Japan,Football,Football Women's Football,Silver
2000,JPN,Japan,Softball,Softball Women's Softball,Silver
1964,USA,USA,Diving,Diving Men's Springboard,Bronze
1976,NOR,Norway,Rowing,Rowing Men's Coxless Fours,Silver
1984,ITA,Italy,Athletics,Athletics Men's Shot Put,Gold
1980,ROU,Romania,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
1984,ROU,Romania,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
2008,BRA,Brazil,Football,Football Women's Football,Silver
1964,ITA,Italy,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
1960,AUS,Australia,Swimming,Swimming Women's 100 metres Butterfly,Bronze
1960,AUS,Australia,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
1996,AUS,Australia,Hockey,Hockey Women's Hockey,Gold
1984,USA,USA,Swimming,Swimming Women's 100 metres Backstroke,Gold
1984,USA,USA,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
1980,RUS,Russia,Football,Football Men's Football,Bronze
1968,RUS,Russia,Basketball,Basketball Men's Basketball,Bronze
2000,RUS,Russia,Athletics,Athletics Men's 20 kilometres Walk,Bronze
1972,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Silver
1972,RUS,Russia,Gymnastics,Gymnastics Men's Floor Exercise,Gold
1972,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Bronze
1976,RUS,Russia,Gymnastics,Gymnastics Men's Individual All-Around,Gold
1976,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Silver
1976,RUS,Russia,Gymnastics,Gymnastics Men's Floor Exercise,Gold
1976,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Gold
1976,RUS,Russia,Gymnastics,Gymnastics Men's Parallel Bars,Silver
1976,RUS,Russia,Gymnastics,Gymnastics Men's Rings,Gold
1976,RUS,Russia,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
1980,RUS,Russia,Gymnastics,Gymnastics Men's Individual All-Around,Silver
1980,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Gold
1980,RUS,Russia,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1980,RUS,Russia,Gymnastics,Gymnastics Men's Horse Vault,Gold
1980,RUS,Russia,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
1972,RUS,Russia,Football,Football Men's Football,Bronze
1984,YUG,Serbia,Water Polo,Water Polo Men's Water Polo,Gold
1988,YUG,Serbia,Water Polo,Water Polo Men's Water Polo,Gold
1996,FRA,France,Rowing,Rowing Men's Coxless Pairs,Bronze
2000,FRA,France,Rowing,Rowing Men's Coxless Pairs,Gold
1996,ROU,Romania,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
2012,UKR,Ukraine,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
1964,TCH,Czech Republic,Rowing,Rowing Men's Double Sculls,Bronze
2008,RUS,Russia,Handball,Handball Women's Handball,Silver
1968,POL,Poland,Fencing,"Fencing Men's epee, Team",Bronze
2008,POL,Poland,Fencing,"Fencing Men's epee, Team",Silver
1996,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Bronze
1972,BGR,,Boxing,Boxing Men's Light-Welterweight,Silver
1972,BGR,,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
1976,BGR,,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
1980,BGR,,Volleyball,Volleyball Men's Volleyball,Silver
2008,DEU,,Football,Football Women's Football,Bronze
1964,ITA,Italy,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
1996,USA,USA,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
1976,HUN,Hungary,Handball,Handball Women's Handball,Bronze
1988,RUS,Russia,Handball,Handball Women's Handball,Bronze
1992,EUN,Russia,Handball,Handball Women's Handball,Bronze
1976,RUS,Russia,Athletics,Athletics Women's 100 metres Hurdles,Silver
1976,RUS,Russia,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1980,RUS,Russia,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
1988,ROU,Romania,Rowing,Rowing Women's Coxed Fours,Bronze
1988,ROU,Romania,Rowing,Rowing Women's Coxed Eights,Silver
1976,GDR,Germany,Swimming,Swimming Women's 100 metres Breaststroke,Gold
1976,GDR,Germany,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
1960,YUG,Serbia,Football,Football Men's Football,Gold
2004,JPN,Japan,Judo,Judo Women's Half-Heavyweight,Gold
2016,RUS,Russia,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
2012,IRN,,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
1976,RUS,Russia,Handball,Handball Men's Handball,Gold
1980,RUS,Russia,Handball,Handball Men's Handball,Silver
2000,CHE,,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
2016,GBR,UK,Hockey,Hockey Women's Hockey,Gold
1964,HUN,Hungary,Athletics,Athletics Women's Javelin Throw,Silver
1976,POL,Poland,Handball,Handball Men's Handball,Bronze
2004,USA,USA,Basketball,Basketball Men's Basketball,Bronze
2008,USA,USA,Basketball,Basketball Men's Basketball,Gold
2012,USA,USA,Basketball,Basketball Men's Basketball,Gold
2016,USA,USA,Basketball,Basketball Men's Basketball,Gold
1980,GUY,Guyana,Boxing,Boxing Men's Bantamweight,Bronze
2004,USA,USA,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
1988,ITA,Italy,Athletics,"Athletics Men's 10,000 metres",Silver
1960,IND,India,Hockey,Hockey Men's Hockey,Silver
1992,AUS,Australia,Rowing,Rowing Men's Double Sculls,Gold
2016,ITA,Italy,Volleyball,Volleyball Men's Volleyball,Silver
2012,RUS,Russia,Basketball,Basketball Men's Basketball,Bronze
1988,RUS,Russia,Volleyball,Volleyball Men's Volleyball,Silver
2008,UKR,Ukraine,Athletics,Athletics Women's Discus Throw,Bronze
1976,RUS,Russia,Rowing,Rowing Women's Single Sculls,Bronze
1960,SWE,Sweden,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
1968,RUS,Russia,Volleyball,Volleyball Men's Volleyball,Gold
2004,RUS,Russia,Athletics,Athletics Women's 400 metres,Bronze
2004,RUS,Russia,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
2012,RUS,Russia,Athletics,Athletics Women's 400 metres Hurdles,Gold
2012,RUS,Russia,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1972,JPN,Japan,Swimming,Swimming Women's 100 metres Butterfly,Gold
1984,MAR,Morocco,Athletics,"Athletics Men's 5,000 metres",Gold
1988,MAR,Morocco,Athletics,Athletics Men's 800 metres,Bronze
2004,TUR,Turkey,Athletics,Athletics Men's Hammer Throw,Bronze
2012,RUS,Russia,Volleyball,Volleyball Men's Volleyball,Gold
1988,RUS,Russia,Water Polo,Water Polo Men's Water Polo,Bronze
1992,EUN,Russia,Water Polo,Water Polo Men's Water Polo,Bronze
1980,ROU,Romania,Rowing,Rowing Women's Coxed Eights,Bronze
1984,ROU,Romania,Rowing,Rowing Women's Coxed Fours,Gold
1972,BGR,,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
1984,DEU,,Hockey,Hockey Women's Hockey,Silver
2000,NLD,,Rowing,Rowing Women's Coxed Eights,Silver
1988,RUS,Russia,Fencing,"Fencing Men's Foil, Team",Gold
2012,MEX,Mexico,Football,Football Men's Football,Gold
2004,TUR,Turkey,Weightlifting,Weightlifting Men's Middleweight,Bronze
1964,FRA,France,Fencing,"Fencing Men's Sabre, Individual",Silver
1992,ISR,Israel,Judo,Judo Women's Half-Middleweight,Silver
2004,CUB,Cuba,Boxing,Boxing Men's Welterweight,Silver
2016,JPN,Japan,Athletics,Athletics Men's 50 kilometres Walk,Bronze
1976,JPN,Japan,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
2012,JPN,Japan,Volleyball,Volleyball Women's Volleyball,Bronze
1976,JPN,Japan,Volleyball,Volleyball Women's Volleyball,Gold
1988,YUG,Serbia,Basketball,Basketball Men's Basketball,Silver
1980,RUS,Russia,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
2012,BRA,Brazil,Boxing,Boxing Women's Lightweight,Bronze
1984,ROU,Romania,Rowing,Rowing Women's Coxless Pairs,Gold
1988,ROU,Romania,Rowing,Rowing Women's Coxless Pairs,Gold
1988,YUG,Serbia,Basketball,Basketball Women's Basketball,Silver
1984,ESP,Spain,Basketball,Basketball Men's Basketball,Silver
2000,GBR,UK,Badminton,Badminton Mixed Doubles,Bronze
2016,GBR,UK,Cycling,Cycling Women's Team Pursuit,Gold
1976,ITA,Italy,Fencing,"Fencing Men's Sabre, Team",Silver
1984,ITA,Italy,Fencing,"Fencing Men's Sabre, Team",Gold
1964,GBR,UK,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
2004,CUB,Cuba,Judo,Judo Men's Half-Lightweight,Bronze
2008,CUB,Cuba,Judo,Judo Men's Half-Lightweight,Bronze
1972,ITA,Italy,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2016,CUB,Cuba,Boxing,Boxing Men's Light-Flyweight,Bronze
1996,IDN,,Badminton,Badminton Men's Doubles,Bronze
1960,ITA,Italy,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
1992,JPN,Japan,Athletics,Athletics Women's Marathon,Silver
1996,JPN,Japan,Athletics,Athletics Women's Marathon,Bronze
2004,BLR,Belarus,Boxing,Boxing Men's Light-Heavyweight,Silver
2016,BRA,Brazil,Volleyball,Volleyball Men's Volleyball,Gold
2004,RUS,Russia,Basketball,Basketball Women's Basketball,Bronze
1980,RUS,Russia,Athletics,Athletics Men's 400 metres Hurdles,Silver
1984,ROU,Romania,Rowing,Rowing Women's Coxed Eights,Silver
1984,CAN,Canada,Rowing,Rowing Women's Coxed Fours,Silver
2012,GBR,UK,Cycling,"Cycling Women's Road Race, Individual",Silver
1984,USA,USA,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
2008,TTO,Trinidad,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
2008,USA,USA,Water Polo,Water Polo Women's Water Polo,Silver
2012,USA,USA,Water Polo,Water Polo Women's Water Polo,Gold
1988,AUS,Australia,Swimming,Swimming Men's 200 metres Freestyle,Gold
1988,AUS,Australia,Swimming,Swimming Men's 400 metres Freestyle,Silver
2008,CAN,Canada,Athletics,Athletics Men's Shot Put,Bronze
2000,AUS,Australia,Sailing,Sailing Women's Two Person Dinghy,Gold
2008,USA,USA,Cycling,Cycling Women's Individual Time Trial,Gold
2012,USA,USA,Cycling,Cycling Women's Individual Time Trial,Gold
2016,USA,USA,Cycling,Cycling Women's Individual Time Trial,Gold
1976,USA,USA,Basketball,Basketball Men's Basketball,Gold
1984,YUG,Serbia,Handball,Handball Men's Handball,Gold
1996,DEU,,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Bronze
2004,DEU,,Cycling,"Cycling Women's Road Race, Individual",Silver
2012,DEU,,Cycling,Cycling Women's Individual Time Trial,Silver
1976,RUS,Russia,Rowing,Rowing Men's Coxless Fours,Bronze
1960,USA,USA,Basketball,Basketball Men's Basketball,Gold
2004,DEU,,Hockey,Hockey Men's Hockey,Bronze
2008,FRA,France,Archery,Archery Women's Team,Bronze
1992,ESP,Spain,Tennis,Tennis Men's Singles,Silver
2004,FRA,France,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1988,RUS,Russia,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
2000,USA,USA,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
1972,YUG,Serbia,Handball,Handball Men's Handball,Gold
1992,EUN,Russia,Volleyball,Volleyball Women's Volleyball,Silver
2000,RUS,Russia,Volleyball,Volleyball Women's Volleyball,Silver
2004,RUS,Russia,Volleyball,Volleyball Women's Volleyball,Silver
2004,KAZ,Kazakhstan,Boxing,Boxing Men's Welterweight,Gold
2008,USA,USA,Gymnastics,Gymnastics Men's Team All-Around,Bronze
2004,TUR,Turkey,Weightlifting,Weightlifting Men's Bantamweight,Bronze
1988,RUS,Russia,Gymnastics,Gymnastics Men's Individual All-Around,Gold
1988,RUS,Russia,Gymnastics,Gymnastics Men's Team All-Around,Gold
1988,RUS,Russia,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1988,RUS,Russia,Gymnastics,Gymnastics Men's Parallel Bars,Gold
1988,RUS,Russia,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
2016,ARM,Armenia,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
1980,SWE,Sweden,Swimming,Swimming Men's 100 metres Butterfly,Gold
2008,BLR,Belarus,Weightlifting,Weightlifting Men's Heavyweight,Gold
1976,RUS,Russia,Basketball,Basketball Men's Basketball,Bronze
1972,RUS,Russia,Athletics,Athletics Men's 800 metres,Silver
1992,EUN,Russia,Archery,Archery Women's Team,Bronze
2012,LTU,Lithuania,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold
2008,JPN,Japan,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
2000,GEO,Georgia,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
2004,GEO,Georgia,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
1988,USA,USA,Judo,Judo Men's Extra-Lightweight,Silver
1968,KEN,Kenya,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1972,KEN,Kenya,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
1964,RUS,Russia,Fencing,"Fencing Men's Sabre, Team",Gold
1972,USA,USA,Water Polo,Water Polo Men's Water Polo,Bronze
2008,CHE,,Judo,Judo Men's Middleweight,Bronze
1996,FIN,Finland,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
2008,ISL,Iceland,Handball,Handball Men's Handball,Silver
1976,PAK,Pakistan,Hockey,Hockey Men's Hockey,Bronze
2008,AUS,Australia,Sailing,Sailing Mixed Multihull,Silver
2016,GBR,UK,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1984,USA,USA,Athletics,Athletics Women's 100 metres,Gold
1984,USA,USA,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1988,USA,USA,Athletics,Athletics Women's 100 metres,Silver
1988,USA,USA,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1992,USA,USA,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2008,NZL,New Zealand,Sailing,Sailing Men's Windsurfer,Gold
2016,JAM,Jamaica,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
1972,RUS,Russia,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
2016,AUS,Australia,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
1964,USA,USA,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
2004,GRC,,Water Polo,Water Polo Women's Water Polo,Silver
2004,AZE,Azerbaijan,Boxing,Boxing Men's Flyweight,Bronze
2000,FRA,France,Boxing,Boxing Men's Light-Flyweight,Gold
1980,RUS,Russia,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
1968,DNK,,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
2008,SWE,Sweden,Tennis,Tennis Men's Doubles,Silver
2012,ITA,Italy,Fencing,"Fencing Men's Foil, Team",Gold
1992,EUN,Russia,Shooting,"Shooting Men's Running Target, 10 metres",Silver
2012,ETH,Ethiopia,Athletics,"Athletics Women's 3,000 metres Steeplechase",Bronze
1992,ROU,Romania,Athletics,Athletics Women's High Jump,Silver
1960,RUS,Russia,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
1960,RUS,Russia,Gymnastics,Gymnastics Women's Team All-Around,Gold
1960,RUS,Russia,Gymnastics,Gymnastics Women's Floor Exercise,Silver
1960,RUS,Russia,Gymnastics,Gymnastics Women's Uneven Bars,Gold
1964,RUS,Russia,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
1964,RUS,Russia,Gymnastics,Gymnastics Women's Team All-Around,Gold
1964,RUS,Russia,Gymnastics,Gymnastics Women's Floor Exercise,Silver
1964,RUS,Russia,Gymnastics,Gymnastics Women's Uneven Bars,Gold
2000,BLR,Belarus,Athletics,Athletics Men's Hammer Throw,Bronze
1976,RUS,Russia,Football,Football Men's Football,Bronze
1984,GBR,UK,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
2004,AZE,Azerbaijan,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
1968,POL,Poland,Volleyball,Volleyball Women's Volleyball,Bronze
1968,TUR,Turkey,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
1988,RUS,Russia,Handball,Handball Men's Handball,Gold
2012,UZB,Uzbekistan,Boxing,Boxing Men's Middleweight,Bronze
1984,SYR,Syria,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
1992,GBR,UK,Hockey,Hockey Women's Hockey,Bronze
1960,TUR,Turkey,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
1992,ITA,Italy,Water Polo,Water Polo Men's Water Polo,Gold
2000,GBR,UK,Rowing,Rowing Men's Coxed Eights,Gold
1972,USA,USA,Swimming,Swimming Women's 100 metres Backstroke,Bronze
1972,USA,USA,Swimming,Swimming Women's 200 metres Backstroke,Silver
1972,USA,USA,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
1964,ITA,Italy,Boxing,Boxing Men's Flyweight,Gold
2004,NGA,,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1972,DEU,,Rowing,Rowing Men's Coxed Fours,Gold
1972,USA,USA,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Silver
1980,GDR,Germany,Athletics,Athletics Women's 100 metres,Bronze
1980,GDR,Germany,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
1988,GDR,Germany,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
2012,DEU,,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
2012,DEU,,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
2016,DEU,,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
2008,USA,USA,Basketball,Basketball Women's Basketball,Gold
2012,USA,USA,Basketball,Basketball Women's Basketball,Gold
2016,USA,USA,Basketball,Basketball Women's Basketball,Gold
2012,RUS,Russia,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
1964,RUS,Russia,Athletics,Athletics Men's Decathlon,Silver
1960,ITA,Italy,Fencing,"Fencing Men's Foil, Team",Silver
1996,USA,USA,Athletics,Athletics Men's High Jump,Gold
1964,USA,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1992,USA,USA,Boxing,Boxing Men's Flyweight,Bronze
1988,RUS,Russia,Athletics,Athletics Men's High Jump,Gold
1972,RUS,Russia,Athletics,Athletics Men's Decathlon,Gold
1976,RUS,Russia,Athletics,Athletics Men's Decathlon,Bronze
2012,MEX,Mexico,Archery,Archery Women's Individual,Bronze
2008,TUR,Turkey,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1988,RUS,Russia,Shooting,"Shooting Men's Running Target, 50 metres",Bronze
1992,FRA,France,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze
2012,JPN,Japan,Fencing,"Fencing Men's Foil, Team",Silver
2016,MYS,,Cycling,Cycling Men's Keirin,Bronze
2000,NGA,,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
1960,USA,USA,Fencing,"Fencing Men's Foil, Individual",Bronze
2016,DNK,,Badminton,Badminton Men's Singles,Bronze
1984,FRA,France,Football,Football Men's Football,Gold
2004,ARG,Argentina,Football,Football Men's Football,Gold
2016,ETH,Ethiopia,Athletics,"Athletics Women's 5,000 metres",Bronze
2016,ETH,Ethiopia,Athletics,"Athletics Women's 10,000 metres",Gold
